"","Img","MeasDate","MeasTime","Tube","Location","PxSizeH","PxSizeV","TotLength.mm","TotProjArea.mm2","TotSurfArea.mm2","TotAvgDiam.10ths.mm","TotVolume.mm3","TotNumberOfTips","AliveLength.mm","AliveProjArea.mm2","AliveSurfArea.mm2","AliveAvgDiam.10ths.mm","AliveVolume.mm3","AliveNumberOfTips","DeadLength.mm","DeadProjArea.mm2","DeadSurfArea.mm2","DeadAvgDiam.10ths.mm","DeadVolume.mm3","DeadNumberOfTips","GoneLength.mm","GoneProjArea.mm2","GoneSurfArea.mm2","GoneAvgDiam.10ths.mm","GoneVolume.mm3","GoneNumberOfTips","NumberOfClasses","L0to0.5","L0.5to1","L1to1.5","L1.5to2","L2to2.5","L2.5to3","L3to3.5","L3.5to4","L4to4.5","Lgreaterthan4.5","SA0to0.5","SA0.5to1","SA1to1.5","SA1.5to2","SA2to2.5","SA2.5to3","SA3to3.5","SA3.5to4","SA4to4.5","SAgreaterthan4.5","PA0to0.5","PA0.5to1","PA1to1.5","PA1.5to2","PA2to2.5","PA2.5to3","PA3to3.5","PA3.5to4","PA4to4.5","PAgreaterthan4.5","V0to0.5","V0.5to1","V1to1.5","V1.5to2","V2to2.5","V2.5to3","V3to3.5","V3.5to4","V4to4.5","Vgreaterthan4.5","T0to0.5","T0.5to1","T1to1.5","T1.5to2","T2to2.5","T2.5to3","T3to3.5","T3.5to4","T4to4.5","Tgreaterthan4.5","Crop","RepSet","AnyRootsRef","AnyRootsLog","AnyRootsTrace","Subject","Frame","RinC","ImgID"
"142","CONSISTEST_T001_L018_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,18,0.023881,0.025172,7.5542,1.2969,4.0744,1.7168,0.175,3,7.5542,1.2969,4.0744,1.7168,0.175,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7.5542,0,0,0,0,0,0,0,0,0,4.0744,0,0,0,0,0,0,0,0,0,1.2969,0,0,0,0,0,0,0,0,0,0.1749,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"Prairie",11,"y","y","y","CKB","18","2","5"
"152","CONSISTEST_T001_L028_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,28,0.023881,0.025172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",12,"y","y","n","CKB","28","3","28"
"153","CONSISTEST_T001_L029_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,29,0.023881,0.025172,3.9395,1.3771,4.3262,3.4955,0.39,2,3.9395,1.3771,4.3262,3.4955,0.39,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2.165,0,0,1.7746,0,0,0,0,0,0,2.0018,0,0,2.3244,0,0,0,0,0,0,0.6372,0,0,0.7399,0,0,0,0,0,0,0.1473,0,0,0.2423,0,0,0,0,0,0,1,0,0,1,0,"Switch",9,"y","y","y","CKB","29","3","29"
"158","CONSISTEST_T001_L034_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,34,0.023881,0.025172,23.5464,4.9027,15.4022,2.0821,0.861,8,23.5464,4.9027,15.4022,2.0821,0.861,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.824,1.3285,14.5927,0.091,5.7103,0,0,0,0,0,0.5622,0.5125,8.989,0.0643,5.2742,0,0,0,0,0,0.1789,0.1631,2.8613,0.0205,1.6788,0,0,0,0,0,0.0138,0.0157,0.4407,0.0036,0.3877,0,0,0,0,0,1,1,5,0,1,0,0,0,0,"Misc",5,"y","y","y","CKB","34","2","12"
"160","CONSISTEST_T001_L036_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,36,0.023881,0.025172,2.7269,1.2707,3.9921,4.66,0.465,2,2.7269,1.2707,3.9921,4.66,0.465,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2.7269,0,0,0,0,0,0,0,0,0,3.9921,0,0,0,0,0,0,0,0,0,1.2707,0,0,0,0,0,0,0,0,0,0.4651,0,0,0,0,0,0,0,0,0,2,"Corn",3,"y","y","y","CKB","36","3","36"
"164","CONSISTEST_T001_L040_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,40,0.023881,0.025172,18.2531,5.438,17.0839,2.9792,1.386,2,18.2531,5.438,17.0839,2.9792,1.386,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1.9753,1.2976,4.2588,0,0,10.7215,0,0,0,0,0.9135,0.7134,2.9828,0,0,12.4742,0,0,0,0,0.2908,0.2271,0.9495,0,0,3.9707,0,0,0,0,0.0336,0.0312,0.1665,0,0,1.1553,0,0,0,0,1,0,0,0,0,1,0,0,"Misc",4,"y","y","y","CKB","40","1","40"
"166","CONSISTEST_T001_L042_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,42,0.023881,0.025172,4.4314,1.4051,4.4142,3.1708,0.362,2,4.4314,1.4051,4.4142,3.1708,0.362,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2.7226,0,1.7088,0,0,0,0,0,0,0,2.3075,0,2.1066,0,0,0,0,0,0,0,0.7345,0,0.6706,0,0,0,0,0,0,0,0.1556,0,0.2067,0,0,0,0,0,0,0,1,0,1,0,0,"Switch",9,"y","y","y","CKB","42","3","29"
"167","CONSISTEST_T001_L043_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,43,0.023881,0.025172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Misc",6,"y","n","n","CKB","43","3","43"
"168","CONSISTEST_T001_L044_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,44,0.023881,0.025172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",12,"y","y","n","CKB","44","3","28"
"174","CONSISTEST_T001_L050_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,50,0.023881,0.025172,18.2485,5.4058,16.9828,2.9623,1.348,2,18.2485,5.4058,16.9828,2.9623,1.348,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4.3577,0.8716,2.3544,4.7694,5.8953,0,0,0,0,0,2.3723,0.6161,1.9848,5.149,6.8605,0,0,0,0,0,0.7551,0.1961,0.6318,1.639,2.1838,0,0,0,0,0,0.1028,0.0347,0.1332,0.4424,0.6357,0,0,0,0,0,1,0,0,1,0,0,0,"Misc",4,"y","y","y","CKB","50","1","40"
"179","CONSISTEST_T001_L055_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,55,0.023881,0.025172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",1,"y","n","n","CKB","55","1","55"
"181","CONSISTEST_T001_L057_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,57,0.023881,0.025172,27.0376,4.4897,14.1048,1.6605,0.63,8,27.0376,4.4897,14.1048,1.6605,0.63,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.3399,11.2866,11.2784,0,3.1327,0,0,0,0,0,0.413,4.7152,6.3215,0,2.6552,0,0,0,0,0,0.1315,1.5009,2.0122,0,0.8452,0,0,0,0,0,0.0101,0.1577,0.283,0,0.1791,0,0,0,0,0,2,3,2,0,1,0,0,0,0,"Switch",8,"y","y","y","CKB","57","2","8"
"183","CONSISTEST_T001_L059_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,59,0.023881,0.025172,27.4138,5.0342,15.8155,1.8364,0.823,8,27.4138,5.0342,15.8155,1.8364,0.823,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.5154,8.9626,10.8033,3.0389,0,3.0937,0,0,0,0,0.4673,3.8853,5.7842,2.3415,0,3.3372,0,0,0,0,0.1488,1.2367,1.8412,0.7453,0,1.0623,0,0,0,0,0.0115,0.1353,0.2465,0.1436,0,0.2865,0,0,0,0,1,4,1,1,0,1,0,0,0,"Switch",8,"y","y","y","CKB","59","2","8"
"185","CONSISTEST_T001_L061_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,61,0.023881,0.025172,7.0756,1.0778,3.386,1.5232,0.132,3,7.0756,1.0778,3.386,1.5232,0.132,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2.7924,4.2832,0,0,0,0,0,0,0,0,1.0758,2.3102,0,0,0,0,0,0,0,0,0.3424,0.7354,0,0,0,0,0,0,0,0,0.033,0.0992,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,"Prairie",11,"y","y","y","CKB","61","2","5"
"189","CONSISTEST_T001_L065_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,65,0.023881,0.025172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",1,"y","n","n","CKB","65","1","55"
"191","CONSISTEST_T001_L067_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,67,0.023881,0.025172,91.759,35.6162,111.8916,3.8815,15.84,14,91.759,35.6162,111.8916,3.8815,15.84,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3.5248,13.3463,7.872,20.2457,22.9769,7.6966,0.642,15.4547,0,0,1.5401,7.8336,5.5444,18.3122,22.8841,8.9291,0.8457,46.0024,0,0,0.4902,2.4935,1.7648,5.829,7.2842,2.8422,0.2692,14.643,0,0,0.0539,0.3671,0.3114,1.3201,1.814,0.8245,0.0887,11.1113,0,0,2,2,3,3,1,3,0,0,"Corn",2,"y","y","y","CKB","67","2","10"
"194","CONSISTEST_T001_L070_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,70,0.023881,0.025172,25.1394,4.5528,14.303,1.811,0.65,8,25.1394,4.5528,14.303,1.811,0.65,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,25.1394,0,0,0,0,0,0,0,0,0,14.303,0,0,0,0,0,0,0,0,0,4.5528,0,0,0,0,0,0,0,0,0,0.6503,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,"Misc",5,"y","y","y","CKB","70","2","12"
"198","CONSISTEST_T001_L074_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,74,0.023881,0.025172,69.3909,18.1688,57.0789,2.6183,3.827,5,69.3909,18.1688,57.0789,2.6183,3.827,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14.9172,13.7,40.7737,0,0,0,0,0,0,0,9.197,10.2588,37.6232,0,0,0,0,0,0,0,2.9275,3.2655,11.9758,0,0,0,0,0,0,0,0.4512,0.6131,2.763,0,0,0,0,0,0,0,1,1,3,0,0,0,0,"Prairie",10,"y","y","y","CKB","74","1","74"
"205","CONSISTEST_T001_L081_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,81,0.023881,0.025172,72.3804,15.9061,49.9704,2.1976,2.794,5,72.3804,15.9061,49.9704,2.1976,2.794,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,17.7753,54.6051,0,0,0,0,0,0,0,0,9.5872,40.3832,0,0,0,0,0,0,0,0,3.0517,12.8544,0,0,0,0,0,0,0,0,0.4115,2.3827,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,"Prairie",10,"y","y","y","CKB","81","1","74"
"211","CONSISTEST_T001_L087_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,87,0.023881,0.025172,4.2932,2.2112,6.9467,5.1505,0.894,2,4.2932,2.2112,6.9467,5.1505,0.894,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4.2932,0,0,0,0,0,0,0,0,0,6.9467,0,0,0,0,0,0,0,0,0,2.2112,0,0,0,0,0,0,0,0,0,0.8945,0,0,0,0,0,0,0,0,0,2,"Corn",3,"y","y","y","CKB","87","3","36"
"214","CONSISTEST_T001_L090_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,90,0.023881,0.025172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Misc",6,"y","n","n","CKB","90","3","43"
"216","CONSISTEST_T001_L092_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,92,0.023881,0.025172,6.381,0.9195,2.8887,1.441,0.113,4,6.381,0.9195,2.8887,1.441,0.113,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5.0244,0.4376,0.919,0,0,0,0,0,0,0,1.9594,0.2211,0.7081,0,0,0,0,0,0,0,0.6237,0.0704,0.2254,0,0,0,0,0,0,0,0.0609,0.0089,0.0434,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,"Switch",7,"y","y","y","CKB","92","1","92"
"220","CONSISTEST_T001_L096_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,96,0.023881,0.025172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prairie",12,"y","y","n","CKB","96","3","28"
"221","CONSISTEST_T001_L097_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,97,0.023881,0.025172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",1,"y","n","n","CKB","97","1","55"
"222","CONSISTEST_T001_L098_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,98,0.023881,0.025172,5.8506,2.3036,7.237,3.9374,0.85,3,5.8506,2.3036,7.237,3.9374,0.85,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1.9291,0,0,0,0,0,0,3.9214,0,0,0.8918,0,0,0,0,0,0,6.3452,0,0,0.2839,0,0,0,0,0,0,2.0197,0,0,0.0328,0,0,0,0,0,0,0.817,0,0,1,0,0,0,0,0,0,2,"Corn",3,"y","y","y","CKB","98","3","36"
"223","CONSISTEST_T001_L099_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,99,0.023881,0.025172,4.77,1.5555,4.8866,3.2609,0.406,2,4.77,1.5555,4.8866,3.2609,0.406,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3.225,0,1.545,0,0,0,0,0,0,0,2.9819,0,1.9047,0,0,0,0,0,0,0,0.9492,0,0.6063,0,0,0,0,0,0,0,0.2194,0,0.1869,0,0,0,0,0,0,0,1,0,1,0,0,"Switch",9,"y","y","y","CKB","99","3","29"
"230","CONSISTEST_T002_L006_2011.06.06_155541_001_CKB.jpg","6/7/2011","10:18:56",2,6,0.023881,0.025172,5.847,0.8786,2.7603,1.5027,0.11,3,5.847,0.8786,2.7603,1.5027,0.11,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3.6505,2.1965,0,0,0,0,0,0,0,0,1.4064,1.354,0,0,0,0,0,0,0,0,0.4477,0.431,0,0,0,0,0,0,0,0,0.0431,0.0664,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,"Switch",7,"y","y","y","CKB","106","1","92"
"231","CONSISTEST_T002_L007_2011.06.06_155541_001_CKB.jpg","6/7/2011","10:18:56",2,7,0.023881,0.025172,83.6696,31.1701,97.9237,3.7254,13.809,14,83.6696,31.1701,97.9237,3.7254,13.809,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6.6362,2.3278,36.7059,11.2234,2.5185,6.1294,1.9708,16.1576,0,0,3.068,1.2572,26.2104,9.4839,2.5767,7.139,2.5839,45.6046,0,0,0.9766,0.4002,8.343,3.0188,0.8202,2.2724,0.8225,14.5164,0,0,0.1129,0.054,1.4923,0.6378,0.2099,0.6618,0.2697,10.4258,0,0,2,2,5,1,2,2,0,0,"Corn",2,"y","y","y","CKB","107","2","10"
"236","CONSISTEST_T002_L012_2011.06.06_155541_001_CKB.jpg","6/7/2011","10:18:56",2,12,0.023881,0.025172,71.8147,19.7365,62.004,2.7483,4.277,5,71.8147,19.7365,62.004,2.7483,4.277,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8.5955,60.0875,3.1316,0,0,0,0,0,0,0,6.6256,52.2136,3.1648,0,0,0,0,0,0,0,2.109,16.6201,1.0074,0,0,0,0,0,0,0,0.4064,3.6165,0.2545,0,0,0,0,0,0,0,1,4,0,0,0,0,"Prairie",10,"y","y","y","CKB","112","1","74"
"239","CONSISTEST_T002_L015_2011.06.06_155541_001_CKB.jpg","6/7/2011","10:18:56",2,15,0.023881,0.025172,5.5272,0.6996,2.198,1.2658,0.07,3,5.5272,0.6996,2.198,1.2658,0.07,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5.5272,0,0,0,0,0,0,0,0,0,2.198,0,0,0,0,0,0,0,0,0,0.6996,0,0,0,0,0,0,0,0,0,0.0699,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Switch",7,"y","y","y","CKB","115","1","92"
"243","CONSISTEST_T002_L019_2011.06.06_155541_001_CKB.jpg","6/7/2011","10:18:56",2,19,0.023881,0.025172,18.2081,5.4795,17.2144,3.0094,1.352,2,18.2081,5.4795,17.2144,3.0094,1.352,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.1233,2.2803,1.9021,0.9246,12.9778,0,0,0,0,0,0.0575,1.2618,1.2876,0.817,13.7904,0,0,0,0,0,0.0183,0.4016,0.4098,0.2601,4.3896,0,0,0,0,0,0.0021,0.0557,0.0695,0.0576,1.1674,0,0,0,0,0,1,0,0,0,1,0,0,0,"Misc",4,"y","y","y","CKB","119","1","40"
"248","CONSISTEST_T002_L024_2011.06.06_155541_001_CKB.jpg","6/7/2011","10:18:56",2,24,0.023881,0.025172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Misc",6,"y","n","n","CKB","124","3","43"
"253","CONSISTEST_T001_L005_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:54",1,5,0.023952,0.024775,36.053,3.4025,10.6893,0.9438,0.354,13,36.053,3.4025,10.6893,0.9438,0.354,13,0,0,0,0,0,0,0,0,0,0,0,0,10,14.3314,12.0893,5.008,1.2407,1.0782,2.3055,0,0,0,0,2.1939,3.2015,1.9271,0.6746,0.7621,1.9302,0,0,0,0,0.6983,1.0191,0.6134,0.2147,0.2426,0.6144,0,0,0,0,0.0267,0.0688,0.0592,0.0293,0.0429,0.1286,0,0,0,0,7,4,2,0,0,0,0,0,0,0,"Prairie",11,"y","y","y","WAM","5","2","5"
"256","CONSISTEST_T001_L008_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,8,0.023952,0.024775,26.2673,5.2328,16.4392,1.9921,1.01,7,26.2673,5.2328,16.4392,1.9921,1.01,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3.6898,8.9328,2.262,2.2757,6.3748,0.5958,0.7675,1.369,0,0,1.0778,3.4735,1.1917,1.5953,5.8031,0.6173,0.9042,1.7764,0,0,0.3431,1.1056,0.3793,0.5078,1.8472,0.1965,0.2878,0.5654,0,0,0.0252,0.108,0.05,0.0891,0.4206,0.0509,0.0848,0.1834,0,0,2,2,1,2,0,0,0,0,0,"Switch",8,"y","y","y","WAM","8","2","8"
"258","CONSISTEST_T001_L010_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,10,0.023952,0.024775,104.832,42.6472,133.9802,4.0682,19.55,14,104.832,42.6472,133.9802,4.0682,19.55,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3.8557,5.1405,21.1743,16.9569,8.444,5.5936,3.8682,24.3788,0,0,1.7708,3.0259,15.9252,15.1662,8.7203,6.4082,5.1545,65.4476,0,0,0.5637,0.9632,5.0691,4.8276,2.7758,2.0398,1.6407,20.8326,0,0,0.0647,0.1421,0.9542,1.0816,0.7173,0.5845,0.5468,14.679,0,0,1,3,2,3,2,0,1,2,"Corn",2,"y","y","y","WAM","10","2","10"
"260","CONSISTEST_T001_L012_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,12,0.023952,0.024775,11.1205,1.7281,5.4291,1.554,0.245,5,11.1205,1.7281,5.4291,1.554,0.245,5,0,0,0,0,0,0,0,0,0,0,0,0,10,1.2122,1.8447,0.9783,3.8095,3.2757,0,0,0,0,0,0.109,0.4841,0.4503,2.2028,2.1828,0,0,0,0,0,0.0347,0.1541,0.1433,0.7012,0.6948,0,0,0,0,0,8e-04,0.0104,0.0165,0.1017,0.1158,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,"Misc",5,"y","y","y","WAM","12","2","12"
"266","CONSISTEST_T001_L018_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,18,0.023952,0.024775,30.9594,2.3798,7.4763,0.7687,0.215,13,30.9594,2.3798,7.4763,0.7687,0.215,13,0,0,0,0,0,0,0,0,0,0,0,0,10,10.4544,14.4803,1.142,3.7974,1.0853,0,0,0,0,0,0.8019,3.3819,0.454,2.1057,0.7328,0,0,0,0,0,0.2553,1.0765,0.1445,0.6703,0.2333,0,0,0,0,0,0.0049,0.0631,0.0144,0.0933,0.0394,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,"Prairie",11,"y","y","y","WAM","18","2","5"
"276","CONSISTEST_T001_L028_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,28,0.023952,0.024775,12.4197,5.4466,17.1109,4.3854,1.876,1,12.4197,5.4466,17.1109,4.3854,1.876,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,12.4197,0,0,0,0,0,0,0,0,0,17.1109,0,0,0,0,0,0,0,0,0,5.4466,0,0,0,0,0,0,0,0,0,1.876,0,0,0,0,0,0,0,0,0,1,0,"Prairie",12,"y","y","y","WAM","28","3","28"
"277","CONSISTEST_T001_L029_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,29,0.023952,0.024775,1.4059,0.6051,1.901,4.304,0.205,1,1.4059,0.6051,1.901,4.304,0.205,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1.4059,0,0,0,0,0,0,0,0,0,1.901,0,0,0,0,0,0,0,0,0,0.6051,0,0,0,0,0,0,0,0,0,0.2046,0,0,0,0,0,0,0,0,0,1,0,"Switch",9,"y","y","y","WAM","29","3","29"
"282","CONSISTEST_T001_L034_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,34,0.023952,0.024775,8.3559,1.6646,5.2294,1.9921,0.275,3,8.3559,1.6646,5.2294,1.9921,0.275,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1.4574,3.0159,2.0438,1.8388,0,0,0,0,0,0,0.5807,1.674,1.4389,1.5357,0,0,0,0,0,0,0.1849,0.5329,0.458,0.4888,0,0,0,0,0,0,0.0185,0.0743,0.0807,0.1021,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"Misc",5,"y","y","y","WAM","34","2","12"
"284","CONSISTEST_T001_L036_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,36,0.023952,0.024775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",3,"y","n","n","WAM","36","3","36"
"288","CONSISTEST_T001_L040_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,40,0.023952,0.024775,17.9231,4.3603,13.6984,2.4328,0.989,2,17.9231,4.3603,13.6984,2.4328,0.989,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7.4913,0,0,0,8.7575,0.6442,1.0301,0,0,0,2.8669,0,0,0,8.7363,0.7589,1.3363,0,0,0,0.9126,0,0,0,2.7809,0.2416,0.4253,0,0,0,0.0873,0,0,0,0.6936,0.0711,0.1379,0,0,0,1,0,0,0,1,0,0,0,"Misc",4,"y","y","y","WAM","40","1","40"
"290","CONSISTEST_T001_L042_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,42,0.023952,0.024775,5.7091,1.8438,5.7925,3.2296,0.503,2,5.7091,1.8438,5.7925,3.2296,0.503,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1.5075,2.644,0.0319,0.1792,0.1792,1.1673,0,0,0,0,1.1551,2.3734,0.0347,0.2111,0.2392,1.7791,0,0,0,0,0.3677,0.7555,0.011,0.0672,0.0761,0.5663,0,0,0,0,0.0704,0.1697,0.003,0.0198,0.0254,0.2158,0,0,0,0,1,0,1,0,0,0,"Switch",9,"y","y","y","WAM","42","3","29"
"291","CONSISTEST_T001_L043_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,43,0.023952,0.024775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Misc",6,"y","n","n","WAM","43","3","43"
"292","CONSISTEST_T001_L044_2011.06.06_155541_001_CKB.jpg","6/13/2011","13:46:55",1,44,0.023952,0.024775,12.5663,5.596,17.5805,4.4532,1.969,1,12.5663,5.596,17.5805,4.4532,1.969,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1.7427,6.7051,4.1185,0,0,0,0,0,0,0,2.1469,9.0603,6.3733,0,0,0,0,0,0,0,0.6834,2.884,2.0287,0,0,0,0,0,0,0,0.2105,0.9749,0.7863,0,0,0,0,0,0,0,0,1,0,"Prairie",12,"y","y","y","WAM","44","3","28"
